,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
167,EMA_15_CE_strategy,NIFTY,2022-08-30,CE,50,2022-09-01,17500,09:45:00,63.0,15:15:00,293.05
168,EMA_15_CE_strategy,NIFTY,2022-09-01,CE,50,2022-09-01,17700,10:30:00,52.1,10:45:00,36.9
169,EMA_15_CE_strategy,NIFTY,2022-09-02,CE,50,2022-09-08,17600,12:15:00,141.0,14:45:00,132.6
170,EMA_15_CE_strategy,NIFTY,2022-09-05,CE,50,2022-09-08,17700,09:45:00,111.45,13:45:00,95.25
171,EMA_15_CE_strategy,NIFTY,2022-09-05,CE,50,2022-09-08,17700,14:00:00,110.65,15:15:00,116.7
172,EMA_15_CE_strategy,NIFTY,2022-09-06,CE,50,2022-09-08,17700,11:15:00,98.6,14:45:00,74.15
173,EMA_15_CE_strategy,NIFTY,2022-09-07,CE,50,2022-09-08,17600,12:00:00,92.65,14:45:00,81.9
174,EMA_15_CE_strategy,NIFTY,2022-09-09,CE,50,2022-09-15,17900,12:45:00,120.3,13:15:00,109.4
175,EMA_15_CE_strategy,NIFTY,2022-09-09,CE,50,2022-09-15,17900,14:00:00,117.55,15:15:00,110.75
176,EMA_15_CE_strategy,NIFTY,2022-09-12,CE,50,2022-09-15,18000,09:45:00,90.9,14:45:00,96.15
177,EMA_15_CE_strategy,NIFTY,2022-09-12,CE,50,2022-09-15,18000,15:00:00,102.15,15:15:00,89.65
178,EMA_15_CE_strategy,NIFTY,2022-09-13,CE,50,2022-09-15,18100,09:45:00,81.6,15:15:00,83.85
179,EMA_15_CE_strategy,NIFTY,2022-09-14,CE,50,2022-09-15,18000,12:00:00,75.65,15:15:00,72.95
180,EMA_15_CE_strategy,NIFTY,2022-09-15,CE,50,2022-09-15,17900,14:30:00,44.7,15:00:00,25.6
181,EMA_15_CE_strategy,NIFTY,2022-09-19,CE,50,2022-09-22,17600,10:00:00,162.9,11:45:00,146.6
182,EMA_15_CE_strategy,NIFTY,2022-09-19,CE,50,2022-09-22,17600,12:15:00,162.9,13:00:00,153.85
183,EMA_15_CE_strategy,NIFTY,2022-09-20,CE,50,2022-09-22,17800,09:45:00,133.35,14:45:00,146.85
184,EMA_15_CE_strategy,NIFTY,2022-09-21,CE,50,2022-09-22,17800,14:00:00,87.05,14:45:00,84.4
185,EMA_15_CE_strategy,NIFTY,2022-09-22,CE,50,2022-09-22,17600,13:15:00,36.55,15:15:00,29.95
186,EMA_15_CE_strategy,NIFTY,2022-09-26,CE,50,2022-09-29,17100,12:45:00,175.0,13:30:00,142.3
187,EMA_15_CE_strategy,NIFTY,2022-09-26,CE,50,2022-09-29,17100,14:30:00,163.5,15:15:00,113.35
188,EMA_15_CE_strategy,NIFTY,2022-09-27,CE,50,2022-09-29,17100,12:00:00,106.4,12:30:00,96.2
189,EMA_15_CE_strategy,NIFTY,2022-09-27,CE,50,2022-09-29,17100,13:00:00,127.15,14:15:00,93.85
190,EMA_15_CE_strategy,NIFTY,2022-09-28,CE,50,2022-09-29,17000,11:30:00,77.6,12:30:00,78.25
191,EMA_15_CE_strategy,NIFTY,2022-09-28,CE,50,2022-09-29,17000,13:30:00,86.0,13:45:00,61.15
192,EMA_15_CE_strategy,NIFTY,2022-09-29,CE,50,2022-09-29,17000,09:45:00,55.2,10:45:00,29.35
193,EMA_15_CE_strategy,NIFTY,2022-09-29,CE,50,2022-09-29,17000,11:00:00,35.9,11:15:00,20.9
194,EMA_15_CE_strategy,NIFTY,2022-09-29,CE,50,2022-09-29,16900,14:45:00,10.2,15:15:00,0.2
195,EMA_15_CE_strategy,NIFTY,2022-09-30,CE,50,2022-10-06,16900,10:15:00,140.7,15:15:00,252.85
196,EMA_15_CE_strategy,NIFTY,2022-10-03,CE,50,2022-10-06,17000,11:30:00,153.45,12:15:00,137.1
197,EMA_15_CE_strategy,NIFTY,2022-10-04,CE,50,2022-10-06,17200,09:45:00,95.85,15:15:00,128.9
198,EMA_15_CE_strategy,NIFTY,2022-10-07,CE,50,2022-10-13,17300,13:45:00,129.55,15:15:00,147.8
199,EMA_15_CE_strategy,NIFTY,2022-10-10,CE,50,2022-10-13,17200,11:45:00,107.1,13:30:00,117.8
200,EMA_15_CE_strategy,NIFTY,2022-10-10,CE,50,2022-10-13,17200,15:00:00,126.95,15:15:00,148.1
201,EMA_15_CE_strategy,NIFTY,2022-10-11,CE,50,2022-10-13,17200,11:45:00,100.8,12:30:00,80.65
202,EMA_15_CE_strategy,NIFTY,2022-10-12,CE,50,2022-10-13,17000,11:45:00,117.9,13:00:00,120.8
